created_at,full_text,username
Wed Nov 27 12:10:43 +0000 2024,"['gempa', 'update', 'mag26', '27nov24', '185936', 'wib', 'lok250', 'ls', '14055', 'bt', 'pusat', 'gempa', 'darat', '17', 'km', 'barat', 'laut', 'kota', 'jayapura', 'kedlmn10', 'km', 'rasa', 'mmi', 'bmkg']",infoBMKG
Wed Nov 27 11:09:11 +0000 2024,"['gempa', 'mag32', '27nov2024', '180437wib', 'lok242ls', '14045bt', '91', 'km', 'timurlaut', 'kabjayapurapapua', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 21:13:12 +0000 2024,"['gempa', 'mag36', '27nov2024', '040648wib', 'lok271lu', '9662bt', '38', 'km', 'timurlaut', 'sinabangaceh', 'kedlmn37', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 20:47:13 +0000 2024,"['gempa', 'mag33', '27nov2024', '034226wib', 'lok011ls', '12313bt', '71', 'km', 'baratdaya', 'bonebolangogorontalo', 'kedlmn120', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 17:19:13 +0000 2024,"['gempa', 'mag28', '27nov2024', '001556wib', 'lok004ls', '12309bt', '64', 'km', 'baratdaya', 'bonebolangogorontalo', 'kedlmn108', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 14:39:13 +0000 2024,"['gempa', 'mag40', '26nov2024', '213426wib', 'lok354lu', '12635bt', '62', 'km', 'baratdaya', 'melonguanesulut', 'kedlmn23', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 13:42:28 +0000 2024,"['gempa', 'update', 'mag46', '26nov24', '202521', 'wib', 'lok409', 'ls', '13514', 'bt', 'pusat', 'gempa', 'darat', '90', 'km', 'barat', 'daya', 'nabire', 'kedlmn21', 'km', 'rasa', 'mmi', 'ii', 'iii', 'nabire', 'bmkg']",infoBMKG
Tue Nov 26 13:30:14 +0000 2024,"['gempa', 'mag39', '26nov2024', '202521wib', 'lok406ls', '13513bt', '92', 'km', 'baratdaya', 'dogiyaipapua', 'kedlmn28', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 11:40:56 +0000 2024,"['gempa', 'update', 'mag37', '26nov24', '181907', 'wib', 'lok316', 'ls', '13574', 'bt', 'pusat', 'gempa', 'darat', '34', 'km', 'timur', 'laut', 'nabire', 'kedlmn21', 'km', 'rasa', 'mmi', 'iiiiv', 'nabire', 'bmkg']",infoBMKG
Tue Nov 26 11:30:13 +0000 2024,"['gempa', 'mag32', '26nov2024', '182712wib', 'lok321ls', '13595bt', '39', 'km', 'timurlaut', 'nabirepapua', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 11:23:13 +0000 2024,"['gempa', 'mag38', '26nov2024', '181906wib', 'lok306ls', '13574bt', '49', 'km', 'baratlaut', 'nabirepapua', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 09:43:12 +0000 2024,"['gempa', 'mag44', '26nov2024', '163740wib', 'lok189lu', '9913bt', '23', 'km', 'tenggara', 'tapanuliutarasumut', 'kedlmn127', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 07:58:13 +0000 2024,"['gempa', 'mag48', '26nov2024', '145506wib', 'lok281ls', '12941bt', '74', 'km', 'timurlaut', 'malukutengah', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 07:20:12 +0000 2024,"['gempa', 'mag38', '26nov2024', '141419wib', 'lok942ls', '12248bt', '93', 'km', 'tenggara', 'maumeresikkantt', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Tue Nov 26 03:37:12 +0000 2024,"['gempa', 'mag44', '26nov2024', '103257wib', 'lok501lu', '12621bt', '123', 'km', 'baratlaut', 'melonguanesulut', 'kedlmn72', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 23:59:12 +0000 2024,"['gempa', 'mag24', '26nov2024', '065447wib', 'lok164ls', '12029bt', '53', 'km', 'tenggara', 'sigisulteng', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 23:37:11 +0000 2024,"['gempa', 'mag40', '26nov2024', '063340wib', 'lok955ls', '11956bt', '8', 'km', 'baratlaut', 'waibakulntt', 'kedlmn25', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 23:36:12 +0000 2024,"['gempa', 'mag40', '26nov2024', '062952wib', 'lok425lu', '9668bt', '40', 'km', 'timurlaut', 'kabnaganrayaaceh', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 19:22:12 +0000 2024,"['gempa', 'mag45', '26nov2024', '021812wib', 'lok451lu', '12629bt', '71', 'km', 'baratlaut', 'melonguanesulut', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 19:06:14 +0000 2024,"['gempa', 'mag27', '26nov2024', '020218wib', 'lok276ls', '11969bt', '28', 'km', 'baratlaut', 'torajautarasulsel', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 18:21:13 +0000 2024,"['gempa', 'mag28', '26nov2024', '011628wib', 'lok118lu', '12414bt', '36', 'km', 'timurlaut', 'lolakbolmongsulut', 'kedlmn10', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 11:20:11 +0000 2024,"['gempa', 'mag31', '25nov2024', '181608wib', 'lok564lu', '9513bt', '35', 'km', 'baratdaya', 'kotasabangaceh', 'kedlmn26', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
Mon Nov 25 10:53:13 +0000 2024,"['gempa', 'mag49', '25nov2024', '174604wib', 'lok603ls', '14729bt', '770', 'km', 'tenggara', 'pegbintangpapua', 'kedlmn70', 'km', 'bmkg', 'disclaimerinformasi', 'utama', 'cepat', 'hasil', 'olah', 'data', 'stabil', 'ubah', 'iring', 'lengkap', 'data']",infoBMKG
