created_at,full_text,username
Tue Dec 24 10:40:00 +0000 2024,"['rua', 'dingin', 'air', 'natuna', 'malaka', 'potensi', 'pulau', 'jawa', 'pulau', 'jawa', 'potensi', 'rendam', 'banjir']",detikcom
Mon Dec 23 09:50:00 +0000 2024,"['banjir', 'rob', 'jakarta', 'surut', 'pekan', 'banjir', 'rob', 'prediksi', 'libur', 'natal']",detikcom
Mon Dec 23 09:41:00 +0000 2024,"['video', 'viral', 'banjir', 'genang', 'kawasan', 'bandara', 'dhoho', 'diri', 'akibat', 'luap', 'sungai', 'bmkg', 'genang', 'masuk', 'area', 'bandara']",detikcom
Mon Dec 23 08:35:00 +0000 2024,"['tumpang', 'pesawat', 'american', 'airlines', 'alam', 'lupa', 'terbang', 'tibatiba', 'lantai', 'kabin', 'banjir', 'kisah', 'titanic']",detikcom
Mon Dec 23 07:33:00 +0000 2024,"['banjir', 'legi', 'kuta', 'surut', '22', 'desember', '2024', 'turis', 'evakuasi', 'aktivitas', 'warga', 'normal']",detikcom
Mon Dec 23 07:30:00 +0000 2024,"['pemkot', 'makassar', 'tetap', 'kota', 'makassar', 'sulawesi', 'selatan', 'sulsel', 'status', 'tanggap', 'darurat', 'banjir', '27', 'desember']",detikcom
Mon Dec 23 04:16:00 +0000 2024,"['paham', 'puncak', 'musim', 'hujan', 'bantu', 'masyarakat', 'hadap', 'tantang', 'banjir', 'simak', 'info', 'kira']",detikcom
Sun Dec 22 13:36:00 +0000 2024,"['wilayah', 'sulsel', 'landa', 'banjir', 'akibat', 'curah', 'hujan', 'polri', 'gerak', 'cepat', 'diri', 'posko', 'evakuasi', 'bantu', 'warga', 'dampak']",detikcom
Sun Dec 22 11:50:00 +0000 2024,"['banjir', 'atap', 'rumah', 'terjang', 'mukim', 'warga', 'camat', 'manggala', 'makassar', 'warga', 'jebak', 'evakuasi', 'lokasi', 'ungsi']",detikcom
Sun Dec 22 11:35:00 +0000 2024,"['banjir', 'rendam', 'minyak', 'legi', 'bal', '22', 'desember', '2024', 'evakuasi', 'wisatawan', 'warga', 'akibat', 'air', 'capai', 'pinggang', 'orang', 'dewasa']",detikcom
