created_at,full_text,username
Thu Dec 19 03:15:00 +0000 2024,"['negara', 'pasifik', 'vanuatu', 'guncang', 'gempa', 'bumi', 'kuat', 'm', '7', '3', 'salah', 'besar', 'sejarah', 'vanuatu', 'detik', 'edu']",detikcom
Wed Dec 18 07:00:00 +0000 2024,"['gempa', 'bumi', 'kuat', 'magnitudo', '7', '3', 'guncang', 'kota', 'vanuatu', 'port', 'vila', 'momen', 'gempa', 'rekam', 'kamera', 'cctv']",detikcom
Wed Dec 18 04:02:00 +0000 2024,"['gempa', 'bumi', 'dahsyat', 'kuat', 'magnitudo', '7', '3', 'guncang', 'vanuatu', 'kemarin', 'akibat', '14', 'orang', 'lapor', 'tinggal', 'dunia']",detikcom
Tue Dec 17 12:02:00 +0000 2024,"['kemlu', 'hubung', 'wni', 'pulau', 'vanuatu', 'pasca', 'gempa', 'bumi', 'm', '7', '3', 'hubung', 'jaring', 'putus']",detikcom
Tue Dec 17 07:53:00 +0000 2024,"['gempa', 'bumi', 'dahsyat', 'kuat', 'magnitudo', '7', '3', 'guncang', 'vanuatu', 'hancur', 'gedung', 'kota', 'port', 'vila', 'mayatmayat', 'korban', 'temu', 'geletak']",detikcom
Mon Dec 16 08:30:00 +0000 2024,"['foto', 'alam', 'indah', 'takut', 'deret', 'foto', 'potret', 'gempa', 'bumi', 'gunung', 'rap', 'wujud', 'hewan', 'langka', 'gtgt', 'foto', 'boredpanda']",detikcom
Sun Dec 15 12:30:00 +0000 2024,"['gempa', 'magnitudo', '4', '0', 'guncang', 'genyem', 'jayapura', 'papua', '15', 'desember', '2024', 'getar', 'sentani', 'dalam', '6', 'km']",detikcom
Sun Dec 15 01:28:46 +0000 2024,"['gempa', 'magnitude', 'm', '5', '3', 'halmahera', 'barat', 'malu', 'utara', 'gempa', 'laut', '113', 'km', 'barat', 'laut', 'halmahera', 'barat']",detikcom
Tue Dec 10 07:41:00 +0000 2024,"['gempa', 'm', '3', '9', 'ngawi', 'kait', 'sesar', 'kendeng', 'pakar', 'its', 'dr', 'amien', 'widodo', 'ingat', 'surabaya', 'daerah', 'padat', 'duduk', 'potensi', 'dampak']",detikcom
Mon Dec 09 03:41:00 +0000 2024,"['gempa', 'bumi', 'kuat', 'm', '3', '9', 'wilayah', 'kabupaten', 'blora', 'jawa', 'pagi', 'pusat', 'gempa', '12', 'km', 'arah', 'timur', 'laut', 'ngawi', 'jawa', 'timur']",detikcom
Fri Dec 06 14:20:00 +0000 2024,"['gempa', 'bumi', 'kuat', 'm', '7', 'guncang', 'lepas', 'pantai', 'california', 'utara', 'amerika', 'serikat', 'guncang', 'gempa', 'barangbarang', 'supermarket', 'beranta']",detikcom
Fri Dec 06 14:01:54 +0000 2024,"['gempa', 'bumi', 'kuat', 'm', '7', 'guncang', 'california', 'utara', 'tampak']",detikcom
Fri Dec 06 03:27:46 +0000 2024,"['gempa', 'magnitudo', 'm', '7', 'aktif', 'ingat', 'tsunami', 'warga', 'ingat', 'tsunami', 'cabut', 'korban', 'jiwa']",detikcom
Tue Dec 03 07:55:00 +0000 2024,"['daftar', '8', 'negara', 'guncang', 'gempa', 'bumi', 'magnitudo', 'salah', 'satu', 'indonesia', 'detik', 'edu']",detikcom
Tue Nov 26 12:06:00 +0000 2024,"['mukesh', 'ambani', 'rumah', 'megah', 'antilia', 'nila', 'us', '2', 'miliar', 'rumah', 'tahan', 'gempa', 'lengkap', 'fasilitas', 'mevvah', 'penasaran', 'detik', 'properti']",detikcom
Tue Nov 26 11:15:00 +0000 2024,"['heboh', 'isu', 'gempa', 'megathrust', 'ri', 'tinggal', 'tunggu', 'bmkg', 'ingat', 'mitigasi', 'jelas', 'detik', 'edu']",detikcom
