created_at,full_text,username
Fri Dec 06 03:27:46 +0000 2024,"['gempa', 'magnitudo', 'm', '7', 'aktif', 'ingat', 'tsunami', 'warga', 'ingat', 'tsunami', 'cabut', 'korban', 'jiwa']",detikcom
Thu Dec 05 06:15:00 +0000 2024,"['7', 'kali', 'tsunami', 'aceh', 'megatsunami', 'greenland', 'gelombang', 'tsunami', 'tinggi', 'sejarah', 'megatsunami', 'besar', 'capai', '524', 'meter', 'via', 'detik', 'edu']",detikcom
Wed Nov 13 03:03:20 +0000 2024,"['gempa', 'm', '5', '2', 'guncang', 'pangandaran', 'rasa', 'warga', 'mobil', 'lapor', 'rusa', 'situasi', 'kondusif', 'potensi', 'tsunami', 'via', 'detikjabar']",detikcom
Wed Nov 06 10:03:00 +0000 2024,"['gempa', '5', '0', 'magnitudo', 'guncang', 'kabupaten', 'keerom', 'papua', 'pusat', 'darat', 'gempa', '6', 'november', '2024', 'potensi', 'tsunami']",detikcom
Thu Oct 10 07:52:33 +0000 2024,"['gempa', 'bumi', 'magnitudo', 'm', '5', '5', 'pulau', 'doi', 'malu', 'utara', 'gempa', 'potensi', 'gelombang', 'tsunami']",detikcom
Tue Oct 01 10:04:40 +0000 2024,"['gempa', 'magnitudo', '6', '2', 'guncang', 'wakatobi', 'sulawesi', 'tenggara', '1', 'oktober', '2024', 'pusat', 'laut', 'gempa', 'potensi', 'tsunami']",detikcom
Thu Sep 26 11:25:00 +0000 2024,"['inatews', 'alarm', 'ingat', 'kait', 'tsunami', 'milik', 'indonesia', 'kerja', 'ya', 'via', 'detik', 'edu']",detikcom
Tue Sep 24 04:33:00 +0000 2024,"['gempa', 'magnitudo', '6', '4', 'guncang', 'bone', 'bolango', 'gorontalo', 'bmkg', 'gempa', 'potensi', 'tsunami', 'analisanya', 'gempagorontalo']",detikcom
Wed Sep 18 09:00:01 +0000 2024,"['dampak', 'gempa', 'bandung', 'parabotan', 'jatuh', 'dinding', 'rumah', 'kelupas', 'gempa', 'bumi', 'm', '4', '9', 'guncang', 'kabupaten', 'bandung', 'jawa', 'barat', 'rabu', '1892024', 'dasar', 'terang', 'kepala', 'pusat', 'gempa', 'bumi', 'tsunami', 'bmkg', 'daryono', 'gempa', 'sebab', 'sesar', 'garsela']",detikcom
Wed Sep 18 07:13:57 +0000 2024,"['gempa', 'susul', 'magnitudo', '35', 'guncang', 'kabupaten', 'garut', 'jawa', 'barat', '18', 'september', '2024', 'bmkg', 'potensi', 'tsunami', 'via', 'detikjabar']",detikcom
Wed Sep 18 06:01:00 +0000 2024,"['gempa', 'm', '4', '9', 'guncang', 'kab', 'bandung', '1892024', 'rusak', 'bangun', 'sebab', 'aktivitas', 'sesar', 'garsela', 'tsunami', 'via', 'detikjabar']",detikcom
Wed Sep 18 05:44:17 +0000 2024,"['perhati', 'lokasi', 'episenter', 'dalam', 'hiposenternya', 'gempa', 'bumi', 'jenis', 'gempa', 'bumi', 'dangkal', 'akibat', 'aktivitas', 'sesar', 'garsela', 'kepala', 'pusat', 'gempa', 'bumi', 'tsunami', 'bmkg', 'daryono', 'via', 'detikjabar']",detikcom
Wed Sep 18 04:20:03 +0000 2024,"['gempa', 'magnitudo', '50', 'guncang', 'kabupaten', 'bandung', 'jabar', '18', 'september', '2024', 'bmkg', 'potensi', 'tsunami', 'warga', 'waspada', 'via', 'detikjabar']",detikcom
Wed Sep 18 03:40:00 +0000 2024,"['gempa', 'bumi', 'kuat', 'magnitudo', '5', 'garut', 'jawa', 'barat', 'gempa', 'potensi', 'tsunami', 'stay', 'safe', 'detikers']",detikcom
