created_at,full_text,username
Sun Dec 15 13:48:32 +0000 2024,"['serang', 'diskon', 'penjuru', 'bri', 'hadir', 'diskon', 'fnb', 'elektronik', 'ecommerce', 'groceries', 'total', 'diskon', 'rp1', '29', 'juta', 'amp', 'cashback', 'rp129', 'ribu', 'nikmat', 'promo', 'istimewa', 'banjir']",liputan6dotcom
Thu Dec 05 15:10:09 +0000 2024,"['banjir', 'warna', 'merah', 'darah', 'bikin', 'geger', 'warga', 'selidik', 'sumber']",liputan6dotcom
Tue Dec 03 18:16:33 +0000 2024,"['video', 'detikdetik', 'banjir', 'rendam', 'kabupaten', 'lebak', 'anakanak', 'pergi', 'sekolah', 'perahu']",liputan6dotcom
Sun Dec 01 15:09:33 +0000 2024,"['bpbd', 'kota', 'medan', 'masyarakat', 'bantaran', 'sungai', 'waspada', 'banjir', 'pekan']",liputan6dotcom
Sat Nov 30 05:48:33 +0000 2024,"['titik', 'berangsung', 'surut', 'banjir', 'akibat', 'luap', 'sungai', 'citarum', 'rendam', 'ribu', 'rumah', 'warga', 'kabupaten', 'bandung', 'jawa', 'barat', 'enamplus', 'lip6van']",liputan6dotcom
Fri Nov 29 09:03:04 +0000 2024,"['restoran', 'apung', 'dampak', 'banjir', 'malaysia', 'bawa', 'arus', '5', 'kilometer']",liputan6dotcom
Fri Nov 29 01:09:04 +0000 2024,"['video', 'momen', 'wanita', 'borong', 'jajan', 'dagang', 'rumah', 'traktir', 'warga', 'banjir', 'puji', 'warganet']",liputan6dotcom
Fri Nov 29 01:06:12 +0000 2024,"['video', 'momen', 'wanita', 'borong', 'jajan', 'dagang', 'rumah', 'traktir', 'warga', 'banjir', 'puji', 'warganet']",liputan6dotcom
Thu Nov 28 04:32:03 +0000 2024,"['61', 'rt', 'jakarta', 'rendam', 'banjir', 'guyur', 'hujan', 'rabu', 'kemarin', '27', 'november', '2024']",liputan6dotcom
Thu Nov 28 01:59:07 +0000 2024,"['ciliwung', 'luap', '10', 'rt', 'kampung', 'melayu', 'rendam', 'banjir', '2', '5', 'meter']",liputan6dotcom
Tue Nov 26 21:43:13 +0000 2024,"['antisipasi', 'banjir', 'tps', 'pawang', 'hujan', 'undang', 'aman', 'pilkada', 'pangkalpinang', 'klynews']",liputan6dotcom
Mon Nov 25 06:15:07 +0000 2024,"['572', 'tps', 'jakarta', 'potensi', 'rawan', 'banjir', 'kpu', 'siap', 'mitigasi']",liputan6dotcom
Sat Nov 09 07:34:06 +0000 2024,"['video', 'cagub', 'pramono', 'anung', 'janji', 'kampanye', 'atas', 'banjir', 'bantu', 'warga', 'miskin']",liputan6dotcom
Mon Nov 04 02:00:00 +0000 2024,"['raja', 'ratu', 'spanyol', 'lempari', 'lumpur', 'kunjung', 'lokasi', 'banjir']",liputan6dotcom
Sat Nov 02 06:07:14 +0000 2024,"['banjir', 'bandang', 'spanyol', 'tewas', '205', 'orang', 'nasib', 'wni']",liputan6dotcom
Fri Nov 01 02:17:59 +0000 2024,"['korban', 'banjir', 'bandang', 'spanyol', 'tingkat', '158', 'orang']",liputan6dotcom
Thu Oct 31 20:27:11 +0000 2024,"['cerita', 'turis', 'jebak', 'mobil', '10', 'jam', 'akibat', 'banjir', 'bandang', 'spanyol']",liputan6dotcom
Thu Oct 31 08:47:01 +0000 2024,"['korban', 'tewas', 'banjir', 'bandang', 'spanyol', 'tembus', '95', 'orang', 'pm', 'umum', 'kabung', '3']",liputan6dotcom
Thu Oct 31 08:32:07 +0000 2024,"['video', '72', 'orang', 'tinggal', 'spanyol', 'terjang', 'banjir', 'bandang']",liputan6dotcom
Tue Oct 29 11:18:03 +0000 2024,"['jelang', 'musim', 'hujan', 'jurus', 'pj', 'gubernur', 'teguh', 'antisipasi', 'banjir', 'jakarta']",liputan6dotcom
Mon Oct 28 10:21:35 +0000 2024,"['cerita', 'nurul', 'zahra', 'digital', 'talent', 'scholarship', 'banjir', 'job']",liputan6dotcom
Fri Oct 25 10:12:05 +0000 2024,"['video', 'banjir', 'puji', 'sekuriti', 'stasiun', 'tuntun', 'tunanetra', 'guna', 'kursi', 'roda', 'sama']",liputan6dotcom
Fri Oct 25 10:05:06 +0000 2024,"['video', 'banjir', 'puji', 'sekuriti', 'stasiun', 'tuntun', 'tunanetra', 'guna', 'kursi', 'roda', 'sama']",liputan6dotcom
Wed Oct 23 16:37:34 +0000 2024,"['hasil', 'timnas', 'indonesia', 'u17', 'vs', 'kuwait', 'banjir', 'peluang', 'laga', 'garuda', 'muda', 'petik', 'menang', 'tipis', 'bola']",liputan6dotcom
Wed Oct 23 09:46:10 +0000 2024,"['fokus', 'jembatan', 'hubung', 'desa', 'mamuju', 'ambruk', 'terjang', 'banjir', 'bandang']",liputan6dotcom
Sun Oct 20 21:07:32 +0000 2024,"['moo', 'deng', 'si', 'bayi', 'kuda', 'nil', 'viral', 'ikon', 'donasi', 'bantu', 'korban', 'banjir', 'bandang', 'thailand']",liputan6dotcom
Sun Oct 20 12:19:03 +0000 2024,"['banjir', 'ucap', 'selamat', 'meni', 'pevita', 'pearce', 'pasang', 'pakai', 'baju', 'serba', 'putih']",liputan6dotcom
Sat Oct 19 13:03:33 +0000 2024,"['fokus', 'curah', 'hujan', 'kota', 'manado', 'banjir', 'rendam', 'jalan', 'mukim']",liputan6dotcom
Thu Oct 17 06:21:34 +0000 2024,"['fokus', 'pagi', 'akibat', 'hujan', 'deras', 'banjir', 'rendam', 'mukim', 'jalan', 'raya', 'kabupaten', 'sanggau']",liputan6dotcom
Wed Oct 16 10:48:10 +0000 2024,"['fokus', 'banjir', 'provinsi', 'aceh', 'luas', '19', 'ribu', 'warga', 'ungsi']",liputan6dotcom
Wed Oct 16 08:35:12 +0000 2024,"['cegah', 'banjir', 'ulang', 'pramono', 'bebas', 'lahan', 'bantaran', 'kali', 'krukut']",liputan6dotcom
Wed Oct 16 06:25:03 +0000 2024,"['bijak', 'wajib', 'standardisasi', 'produk', 'manufaktur', 'longgar', 'bikin', 'banjir', 'barang', 'impor']",liputan6dotcom
Wed Oct 16 03:21:34 +0000 2024,"['jokowi', 'resmi', 'bendung', 'lausimeme', 'nila', 'rp', '1', '76', 'triliun', 'kurang', 'banjir', 'medan']",liputan6dotcom
Tue Oct 15 04:37:09 +0000 2024,"['atas', 'banjir', 'pramono', 'anung', 'naturalisasi', '34', 'bidang', 'lahan', 'cipinang', 'melayu']",liputan6dotcom
Mon Oct 14 07:12:05 +0000 2024,"['gurun', 'sahara', 'landa', 'banjir', 'kali', 'puluh']",liputan6dotcom
Mon Oct 14 02:12:07 +0000 2024,"['cek', 'fakta', 'hoaks', 'anies', 'baswedan', 'solusi', 'banjir', 'tinggal', 'tunggu', 'musim', 'kemarau']",liputan6dotcom
Sun Oct 13 08:16:05 +0000 2024,"['fokus', 'banjir', 'aceh', 'tenggara', 'rendam', '11', 'camat']",liputan6dotcom
Sat Oct 12 07:11:33 +0000 2024,"['fokus', 'banjir', 'terjang', 'kawasan', 'aceh', 'akses', 'jalan', 'putus', 'ratus', 'warga', 'kepung', 'banjir']",liputan6dotcom
Fri Oct 11 10:43:33 +0000 2024,"['fokus', 'kendara', 'seret', 'arus', 'banjir', 'sukabumi', 'lintas', 'sendat']",liputan6dotcom
Wed Oct 09 11:49:35 +0000 2024,"['fokus', 'banjir', 'genang', 'mukim', 'kantor', 'aceh', 'utara']",liputan6dotcom
Sun Sep 08 06:21:09 +0000 2024,"['banjir', 'promo', 'spesial', 'bri', 'ajak', 'si', 'main', 'youreka', 'kids', 'farm']",liputan6dotcom
Fri Sep 06 15:35:09 +0000 2024,"['mejeng', 'jepang', 'batik', 'cirebon', 'anyam', 'yogyakarta', 'banjir', 'minat']",liputan6dotcom
Wed Sep 04 05:22:08 +0000 2024,"['raih', 'medali', 'olimpiade', 'banjir', 'bonus', 'latih', 'timnas', 'indonesia', 'ganggu', 'arab', 'saudi', 'bola']",liputan6dotcom
Wed Sep 04 05:19:09 +0000 2024,"['raih', 'medali', 'olimpiade', 'banjir', 'bonus', 'latih', 'timnas', 'indonesia', 'ganggu', 'arab', 'saudi']",liputan6dotcom
Tue Sep 03 08:24:05 +0000 2024,"['jelang', 'nikah', 'foto', 'prewedding', 'hyuna', 'yong', 'junhyung', 'banjir', 'kritik']",liputan6dotcom
Mon Sep 02 08:30:35 +0000 2024,"['viral', 'larang', 'tenaga', 'medis', 'jilbab', 'banjir', 'bandang', 'ternate']",liputan6dotcom
Mon Sep 02 08:17:34 +0000 2024,"['viral', 'larang', 'tenaga', 'medis', 'jilbab', 'banjir', 'bandang', 'ternate']",liputan6dotcom
Mon Sep 02 04:30:18 +0000 2024,"['banjir', 'bandang', 'ternate', '1', 'korban', 'hilang', 'temu', 'total', '19', 'tinggal', 'dunia']",liputan6dotcom
Sun Sep 01 06:06:12 +0000 2024,"['fokus', 'banjir', 'kepung', 'mukim', 'kab', 'landak', 'tinggi', '1', 'meter']",liputan6dotcom
Sat Aug 31 13:15:10 +0000 2024,"['fokus', 'sungai', 'luap', 'banjir', 'rendam', 'mukim', 'kab', 'landak', 'kalbar']",liputan6dotcom
Thu Aug 29 10:00:05 +0000 2024,"['bobby', 'nasution', 'terobos', 'banjir', 'medan', 'lihat', 'langsung', 'warga']",liputan6dotcom
Wed Aug 28 08:33:05 +0000 2024,"['fokus', 'korban', 'banjir', 'bandang', 'ternate', 'tambah', 'total', '18', 'orang', 'tinggal', 'dunia']",liputan6dotcom
Tue Aug 27 12:44:35 +0000 2024,"['banjir', 'bandang', 'ternate', 'ungsi', 'capai', '187', 'orang', '18', 'tinggal', 'dunia', 'klynews']",liputan6dotcom
Tue Aug 27 04:05:04 +0000 2024,"['8', 'potret', 'mesra', 'stefan', 'william', 'ria', 'andrews', 'pamer', 'buah', 'hati', 'banjir', 'atensi']",liputan6dotcom
Sun Aug 25 08:12:05 +0000 2024,"['fokus', 'banjir', 'bandang', 'kel', 'rua', 'pulau', 'ternate', 'tewas', 'bas', 'orang']",liputan6dotcom
Sat Aug 24 07:47:35 +0000 2024,"['fokus', 'hujan', 'deras', 'guyur', 'kota', 'palu', 'banjir', 'rendam', 'mukim', 'rumah', 'sakit']",liputan6dotcom
Fri Aug 16 10:21:34 +0000 2024,"['video', 'momen', 'haru', 'pria', 'nikah', 'kasih', 'juang', 'kanker', 'banjir', 'puji', 'internet']",liputan6dotcom
Fri Aug 16 10:20:34 +0000 2024,"['video', 'momen', 'haru', 'pria', 'nikah', 'kasih', 'juang', 'kanker', 'banjir', 'puji', 'internet']",liputan6dotcom
Mon Aug 12 17:07:06 +0000 2024,"['potret', 'indah', 'permatasari', 'gaya', 'rambut', 'bondol', 'banjir', 'puji']",liputan6dotcom
Mon Aug 12 06:23:44 +0000 2024,"['fokus', 'banjir', 'rendam', 'kab', 'aceh', 'singkil', 'ribu', 'warga', 'dampak']",liputan6dotcom
Sun Aug 11 22:09:35 +0000 2024,"['suami', 'anggun', 'c', 'sasmi', 'unggah', 'potret', 'istri', 'nikmat', 'sunset', 'bal', 'banjir', 'puji', 'warganet']",liputan6dotcom
Fri Aug 09 03:21:07 +0000 2024,"['potret', 'felicya', 'angelista', 'mode', 'kerja', 'bal', 'banjir', 'puji']",liputan6dotcom
Thu Aug 08 08:57:33 +0000 2024,"['fokus', 'banjir', 'rendam', 'mukim', 'kabupaten', 'sidrap', 'guyur', 'hujan', 'deras']",liputan6dotcom
Wed Aug 07 10:54:05 +0000 2024,"['kemenperin', 'bela', 'sebab', 'kontainer', 'numpuk', 'labuh', 'banjir', 'produk', 'impor']",liputan6dotcom
Wed Aug 07 01:10:09 +0000 2024,"['7', 'potret', 'ayu', 'ting', 'ting', 'tampil', 'pesona', 'gaya', 'bak', 'noni', 'belanda', 'banjir', 'puji']",liputan6dotcom
Tue Aug 06 08:09:04 +0000 2024,"['video', 'viral', 'banjir', 'semarang', 'jawa', 'guyur', 'hujan']",liputan6dotcom
Sun Aug 04 08:28:05 +0000 2024,"['fokus', 'banjir', 'terjang', 'mukim', 'kab', 'seram', 'barat']",liputan6dotcom
Wed Jul 31 10:03:35 +0000 2024,"['video', 'momen', 'haru', 'teman', 'anak', 'korakora', 'takut', 'banjir', 'puji', 'warganet']",liputan6dotcom
Wed Jul 31 10:02:14 +0000 2024,"['video', 'momen', 'haru', 'teman', 'anak', 'korakora', 'takut', 'banjir', 'puji', 'warganet']",liputan6dotcom
Fri Jul 26 15:06:08 +0000 2024,"['run', 'hub', '2024', 'banjir', 'minat', 'menhub', 'merinding']",liputan6dotcom
Wed Jul 24 23:31:06 +0000 2024,"['viral', 'wanita', 'disabilitas', 'makeup', 'wajah', 'ibu', 'pakai', 'kaki', 'hasil', 'banjir', 'puji']",liputan6dotcom
Tue Jul 23 12:51:35 +0000 2024,"['fokus', 'banjir', 'bandang', 'terjang', 'kab', 'halmahera', 'hanyut', 'sepeda', 'motor']",liputan6dotcom
Tue Jul 23 02:37:04 +0000 2024,"['fokus', 'pagi', 'banjir', 'bandang', 'terjang', 'kab', 'halmahera']",liputan6dotcom
Mon Jul 22 01:51:33 +0000 2024,"['jalan', 'padang', 'panjangsicincin', 'lintas', 'putus', 'imbas', 'banjir', 'bandang']",liputan6dotcom
Thu Jul 18 06:25:33 +0000 2024,"['larang', 'hijab', 'atlet', 'prancis', 'olimpiade', 'paris', '2024', 'banjir', 'kritik', 'publik', 'ancam', 'boikot']",liputan6dotcom
Wed Jul 17 04:36:06 +0000 2024,"['bpbd', 'dki', 'imbau', 'warga', 'pesisir', 'jakarta', 'waspada', 'banjir', 'rob', '23', 'juli', '2023']",liputan6dotcom
Tue Jul 16 10:33:11 +0000 2024,"['sebab', 'indonesia', 'banjir', 'barang', 'impor', 'ilegal']",liputan6dotcom
Mon Jul 15 11:19:33 +0000 2024,"['banjir', 'terjang', 'gorontalo', 'bnpb', 'siaga', '59', 'posko', 'ungsi']",liputan6dotcom
