created_at,full_text,username
Wed Dec 18 04:04:43 +0000 2024,"['gempa', 'vanuatu', 'kemlu', 'ri', 'konfirmasi', 'wni', 'korban']",liputan6dotcom
Fri Dec 06 04:07:13 +0000 2024,"['gempa', 'california', 'picu', 'ingat', 'tsunami', 'kolam', 'renang', 'guncang', 'air', 'tumpah']",liputan6dotcom
Sun Dec 01 14:59:33 +0000 2024,"['gempa', 'indonesia', 'minggu', '1', 'desember', '2024', 'taniwel', 'timur', 'malu']",liputan6dotcom
Wed Nov 13 01:10:17 +0000 2024,"['jelas', 'bmkg', 'getar', 'gempa', 'rasa', 'warga', 'bantul', 'rabu', 'pagi', '13', 'november', '2024']",liputan6dotcom
Tue Oct 29 13:45:10 +0000 2024,"['gempa', 'selasa', '29', 'oktober', '2024', 'magnitudo', '4', '7', 'getar', 'pidie', 'jaya', 'aceh']",liputan6dotcom
Mon Oct 28 04:06:07 +0000 2024,"['gempa', 'magnitudo', '4', '4', 'getar', 'kuta', 'selatan', 'bal', 'sumbawa']",liputan6dotcom
Sun Oct 27 12:54:34 +0000 2024,"['gempa', 'minggu', '27', 'oktober', '2024', 'indonesia', 'pagi', 'getar', 'sumbawa', 'barat', 'ntb']",liputan6dotcom
Fri Oct 25 12:54:14 +0000 2024,"['gempa', 'jumat', '25', 'oktober', '2024', 'getar', 'teluk', 'wondama', 'provinsi', 'papua', 'barat']",liputan6dotcom
Thu Oct 24 13:31:05 +0000 2024,"['gempa', 'kamis', '24', 'oktober', '2024', 'kali', 'getar', 'indonesia']",liputan6dotcom
Wed Oct 23 13:45:36 +0000 2024,"['gempa', 'rabu', '23', 'oktober', '2024', 'kali', 'wilayah', 'indonesia', 'getar']",liputan6dotcom
Tue Oct 22 13:02:34 +0000 2024,"['gempa', 'magnitudo', '5', '0', 'guncang', 'pangandaran', 'jawa', 'barat']",liputan6dotcom
Mon Oct 21 14:05:04 +0000 2024,"['gempa', 'senin', '21', 'oktober', '2024', '9', 'kali', 'getar', 'indonesia', 'pekan']",liputan6dotcom
Fri Oct 18 12:27:34 +0000 2024,"['status', 'gunung', 'iya', 'ntt', 'waspada', 'hatihati', 'gempa', 'tektonik']",liputan6dotcom
Sun Oct 13 13:54:13 +0000 2024,"['gempa', 'minggu', '13', 'oktober', '2024', 'getar', 'wilayah', 'indonesia', 'pekan']",liputan6dotcom
Sun Oct 13 07:48:09 +0000 2024,"['gempa', 'm', '5', '8', 'guncang', 'banda', 'aceh', 'bmkg', 'pasti', 'potensi', 'tsunami']",liputan6dotcom
Thu Oct 10 14:30:35 +0000 2024,"['gempa', 'kamis', '10', 'oktober', '2024', 'kali', 'getar', 'wilayah', 'indonesia']",liputan6dotcom
Wed Oct 09 13:52:33 +0000 2024,"['gempa', 'rabu', '9', 'oktober', '2024', 'getar', 'wilayah', 'indonesia', 'siang', 'malam']",liputan6dotcom
Mon Oct 07 12:30:34 +0000 2024,"['gempa', 'senin', '7', 'oktober', '2024', 'getar', 'indonesia', 'kali', 'pekan']",liputan6dotcom
Mon Oct 07 01:44:33 +0000 2024,"['top', '3', 'gempa', 'dangkal', 'guncang', 'bogor', 'garut', 'bandung']",liputan6dotcom
Sun Oct 06 16:42:33 +0000 2024,"['gempa', 'minggu', '6', 'oktober', '2024', 'guncang', 'bogor', 'jayapura', 'papua']",liputan6dotcom
Sun Oct 06 00:59:05 +0000 2024,"['2', 'gempa', 'dangkal', 'guncang', 'bogor', 'garut', 'bandung']",liputan6dotcom
