created_at,full_text,username
Thu May 30 22:53:08 +0000 2024,"['gempa', 'm', '5', '1', 'guncang', 'morowali', 'sulteng', 'jumat', 'potensi', 'tsunami']",liputan6dotcom
Tue May 28 12:16:34 +0000 2024,"['gempa', 'm', '6', '2', 'guncang', 'sabang', 'aceh', 'bmkg', 'pasti', 'potensi', 'tsunami']",liputan6dotcom
Sat May 25 01:59:04 +0000 2024,"['gempa', 'magnitudo', '5', 'guncang', 'simeulue', 'aceh', 'potensi', 'tsunami']",liputan6dotcom
Sun May 19 12:11:12 +0000 2024,"['kabar', 'viral', 'tsunami', 'hoaks', 'fakta']",liputan6dotcom
Sat May 04 06:10:05 +0000 2024,"['cek', 'fakta', 'klarifikasi', 'bmkg', 'waspada', 'tsunami', 'sumatera', '2024']",liputan6dotcom
Tue Apr 30 14:28:13 +0000 2024,"['gempa', 'm', '5', '5', 'guncang', 'pulau', 'doi', 'malu', 'utara', 'potensi', 'tsunami']",liputan6dotcom
Sat Apr 27 17:16:05 +0000 2024,"['gempa', 'magnitudo', '6', '5', 'goyang', 'garut', 'potensi', 'tsunami']",liputan6dotcom
Sat Apr 27 16:54:06 +0000 2024,"['gempa', 'garut', 'magnitudo', '6', '5', 'getar', 'jakarta', 'bandung', 'potensi', 'tsunami']",liputan6dotcom
Mon Apr 22 12:08:32 +0000 2024,"['gempa', 'magnitudo', '5', '1', 'guncang', 'pacitan', 'potensi', 'tsunami']",liputan6dotcom
Fri Apr 19 12:47:13 +0000 2024,"['video', 'kumpul', 'fakta', 'erupsi', 'gunung', 'ruang', 'potensi', 'picu', 'tsunami']",liputan6dotcom
Thu Apr 18 11:28:09 +0000 2024,"['gunung', 'ruang', 'erupsi', 'badan', 'geologi', 'ingat', 'warga', 'waspada', 'potensi', 'tsunami']",liputan6dotcom
Tue Apr 09 10:30:06 +0000 2024,"['gempa', 'magnitudo', '6', '5', 'guncang', 'pulau', 'doi', 'malu', 'utara', 'potensi', 'tsunami']",liputan6dotcom
Sun Apr 07 15:19:05 +0000 2024,"['gempa', 'magnitudo', '5', '2', 'guncang', 'dompu', 'ntb', 'bmkg', 'potensi', 'tsunami']",liputan6dotcom
Sun Mar 24 01:10:10 +0000 2024,"['gempa', 'magnitudo', '6', '8', 'guncang', 'keerom', 'papua', 'potensi', 'tsunami']",liputan6dotcom
Fri Mar 22 05:59:33 +0000 2024,"['gempa', 'magnitudo', '6', 'guncang', 'tuban', 'potensi', 'tsunami']",liputan6dotcom
Tue Jan 16 14:15:05 +0000 2024,"['39', 'rumah', 'pasca', 'bencana', 'warga', 'korban', 'tsunami', 'palu', 'huni']",liputan6dotcom
Wed Jan 10 14:09:36 +0000 2024,"['daftar', 'hoaks', 'putar', 'tsunami', 'jepang', 'simak', 'fakta']",liputan6dotcom
Wed Jan 10 09:01:06 +0000 2024,"['cek', 'fakta', 'video', 'peristiwa', 'gempa', 'tsunami', 'jepang', '1', 'januari', '2024']",liputan6dotcom
Fri Jan 05 10:04:08 +0000 2024,"['jepang', 'jadi', 'bahan', 'hoaks', 'putar', 'tsunami', 'limbah', 'nuklir']",liputan6dotcom
Fri Jan 05 00:13:34 +0000 2024,"['kumpul', 'hoaks', 'putar', 'tsunami', 'mancanegara', 'simak', 'fakta']",liputan6dotcom
Sat Nov 18 00:42:04 +0000 2023,"['gempa', 'm', '5', '2', 'pantai', 'selatan', 'cianjur', 'bmkg', 'potensi', 'tsunami']",liputan6dotcom
Fri Nov 03 07:29:05 +0000 2023,"['gempa', 'm', '5', '2', 'guncang', 'enggano', 'bengkulu', 'potensi', 'tsunami']",liputan6dotcom
Fri Oct 27 08:21:06 +0000 2023,"['gempa', 'magnitudo', '5', '5', 'guncang', 'waingapu', 'ntt', 'potensi', 'tsunami']",liputan6dotcom
