created_at,full_text,username
Sun Dec 22 08:00:01 +0000 2024,"['catat', '6', 'tandatanda', 'mobil', 'bekas', 'kena', 'banjir']",okezonenews
Sun Dec 22 06:51:42 +0000 2024,"['banjir', 'hebat', 'terjang', 'sulawesi', 'selatan', 'polri', 'gerak', 'cepat', 'evakuasi', 'warga', 'dampak']",okezonenews
Wed Dec 18 10:09:57 +0000 2024,"['banjir', 'rob', 'terjang', 'indramayu', 'bnpb', '4354', 'kk', 'dampak']",okezonenews
Tue Dec 17 13:32:29 +0000 2024,"['banjir', 'promo', 'ulang', 'ke129', 'bri']",okezonenews
Tue Dec 17 11:00:02 +0000 2024,"['cerai', 'edward', 'akbar', 'kimberly', 'ryder', 'banjir', 'dm', 'pria', 'genit']",okezonenews
Mon Dec 16 10:40:00 +0000 2024,"['banjir', 'rob', 'rendam', '9', 'rt', 'jakut', 'pulau', 'ribu']",okezonenews
Mon Dec 16 01:40:00 +0000 2024,"['5', 'desa', 'muaragembong', 'bekas', 'banjir', 'rob', '3000', 'kk', 'dampak']",okezonenews
Mon Dec 16 01:10:00 +0000 2024,"['dampak', 'banjir', 'rob', 'warga', 'pluit', 'perintah', 'buat', 'tanggul']",okezonenews
Sun Dec 15 05:43:23 +0000 2024,"['krl', 'jakarta', 'kotatanjung', 'priok', 'ganggu', 'akibat', 'terjang', 'banjir', 'rob']",okezonenews
Sun Dec 15 02:16:07 +0000 2024,"['bpbd', 'banjir', 'rob', 'jakut', '20', 'desember']",okezonenews
Sat Dec 14 16:20:00 +0000 2024,"['banjir', 'rob', 'rendam', '6', 'rt', 'jakut', 'tinggi', 'meter']",okezonenews
Thu Dec 12 04:40:17 +0000 2024,"['bmkg', 'imbau', 'waspada', 'banjir', 'rob', 'pesisir', '5', 'januari', '2025']",okezonenews
Tue Dec 10 14:00:02 +0000 2024,"['motor', 'rendam', 'banjir', 'perhati', '6']",okezonenews
Tue Dec 10 08:45:01 +0000 2024,"['jakarta', 'banjir', 'asn', 'work', 'from', 'home']",okezonenews
Sun Dec 08 09:55:25 +0000 2024,"['legenda', 'timnas', 'indonesia', 'boaz', 'solossa', 'banjir', 'dukung', 'kalah', 'tajam', 'hokky', 'caraka', 'ramadhan', 'sananta']",okezonenews
Sat Dec 07 15:40:00 +0000 2024,"['wapres', 'gibran', 'tinjau', 'lokasi', 'banjir', 'bandang', 'sukabumi', 'motor', 'trail']",okezonenews
Sat Dec 07 14:50:00 +0000 2024,"['mobil', 'hilang', 'seret', 'banjir', 'bandang', 'sukabumi', 'temu', 'kondisi', 'bentuk']",okezonenews
Sat Dec 07 00:40:00 +0000 2024,"['anjing', 'lacak', 'hasil', 'temu', '2', 'korban', 'banjir', 'bandang', 'serdang']",okezonenews
Fri Dec 06 15:50:00 +0000 2024,"['banjir', 'lahar', 'dingin', 'terjang', 'sungai', 'lereng', 'gunung', 'rapi']",okezonenews
Fri Dec 06 14:25:21 +0000 2024,"['guyur', 'hujan', 'deras', '3', 'jam', 'kota', 'malang', 'kepung', 'banjir']",okezonenews
