created_at,full_text,username
Wed Sep 18 04:32:14 +0000 2024,"['daryonobmkg', 'sebab', 'gempa', 'bandung', 'pagi']",okezonenews
Wed Sep 18 04:32:04 +0000 2024,"['jhonsitorus', '18', 'sebab', 'gempa', 'bandung', 'pagi']",okezonenews
Wed Sep 18 04:31:39 +0000 2024,"['infobmkg', 'sebab', 'gempa', 'bandung', 'pagi']",okezonenews
Wed Sep 18 04:31:05 +0000 2024,"['infobmkg', 'sebab', 'gempa', 'bandung', 'pagi']",okezonenews
Wed Sep 18 04:28:35 +0000 2024,"['rumah', 'roboh', 'akibat', 'gempa', 'm5', '0', 'bandung', 'korban', 'jiwa', 'nihil']",okezonenews
Wed Sep 18 04:28:23 +0000 2024,"['infobmkg', 'rumah', 'roboh', 'akibat', 'gempa', 'm5', '0', 'bandung', 'korban', 'jiwa', 'nihil']",okezonenews
Wed Sep 18 04:25:08 +0000 2024,"['sesar', 'garsela', 'sebab', 'gempa', 'bandung', 'pagi']",okezonenews
Wed Sep 18 04:12:27 +0000 2024,"['ihtafzikri', 'stay', 'safe', 'gempa', 'magnitudo', '5', '0', 'guncang', 'bandung', 'kantor', 'camat', 'kua', 'rusak']",okezonenews
Wed Sep 18 04:12:16 +0000 2024,"['infobmkg', 'stay', 'safe', 'gempa', 'magnitudo', '5', '0', 'guncang', 'bandung', 'kantor', 'camat', 'kua', 'rusak']",okezonenews
Wed Sep 18 04:12:06 +0000 2024,"['basebdg', 'stay', 'safe', 'gempa', 'magnitudo', '5', '0', 'guncang', 'bandung', 'kantor', 'camat', 'kua', 'rusak']",okezonenews
Wed Sep 18 04:11:49 +0000 2024,"['infohumasbmkg', 'stay', 'safe', 'gempa', 'magnitudo', '5', '0', 'guncang', 'bandung', 'kantor', 'camat', 'kua', 'rusak']",okezonenews
Wed Sep 18 04:11:39 +0000 2024,"['caepriecrxn', 'stay', 'safe', 'gempa', 'magnitudo', '5', '0', 'guncang', 'bandung', 'kantor', 'camat', 'kua', 'rusak']",okezonenews
Wed Sep 18 04:11:30 +0000 2024,"['basebdg', 'stay', 'safe', 'gempa', 'magnitudo', '5', '0', 'guncang', 'bandung', 'kantor', 'camat', 'kua', 'rusak']",okezonenews
Wed Sep 18 04:11:13 +0000 2024,"['daryonobmkg', 'stay', 'safe', 'gempa', 'magnitudo', '5', '0', 'guncang', 'bandung', 'kantor', 'camat', 'kua', 'rusak']",okezonenews
