created_at,full_text,username
Wed Dec 25 14:30:00 +0000 2024,"['kisah', 'martunis', 'ronaldo', 'bocah', 'ajaib', 'selamat', 'tsunami', 'aceh', 'tolak', 'aja', 'mulia', 'cr7', 'tinggal', 'inggris']",okezonenews
Sat Dec 21 23:37:11 +0000 2024,"['peristiwa', '22', 'desember', 'ingat', 'tsunami', 'selat', 'sunda', 'tewas', 'ratus', 'orang']",okezonenews
Wed Dec 18 07:26:42 +0000 2024,"['kuis', 'dalam', 'tahu', 'tsunami']",okezonenews
Tue Dec 17 05:21:24 +0000 2024,"['breaking', 'gempa', 'dahsyat', 'm7', '5', 'guncang', 'vanuatu', 'sebab', 'tsunami']",okezonenews
Tue Dec 17 01:58:37 +0000 2024,"['gempa', 'm4', '1', 'guncang', 'siberut', 'tawa', 'potensi', 'tsunami']",okezonenews
Sat Dec 14 05:19:53 +0000 2024,"['gempa', 'm4', '8', 'guncang', 'halmahera', 'selatan', 'malut', 'potensi', 'tsunami']",okezonenews
Thu Dec 12 01:40:00 +0000 2024,"['peristiwa', '12', 'desember', 'gempa', 'ikut', 'tsunami', '36', 'meter', 'terjang', 'flores', 'ribu', 'orang', 'tewas']",okezonenews
Sat Dec 07 03:36:35 +0000 2024,"['gempa', 'm4', '7', 'guncang', 'sarmi', 'papua', 'potensi', 'tsunami']",okezonenews
Fri Dec 06 06:20:00 +0000 2024,"['ponsel', 'warga', 'caloifornia', 'dering', 'gempa', 'm7', 'ingat', 'tsunami', 'cabut']",okezonenews
Fri Nov 22 00:00:01 +0000 2024,"['4', 'potret', 'atta', 'halilintar', 'kena', 'jersey', 'milik', 'ronaldo', 'beli', 'korban', 'tsunami', 'aceh']",okezonenews
Thu Nov 21 13:30:01 +0000 2024,"['4', 'potret', 'atta', 'halilintar', 'kena', 'jersey', 'milik', 'ronaldo', 'beli', 'korban', 'tsunami', 'aceh']",okezonenews
Fri Nov 01 03:04:36 +0000 2024,"['banjir', 'bandang', 'valencia', 'tewas', '158', 'orang', 'hancur', 'bak', 'terjang', 'tsunami']",okezonenews
Thu Sep 26 17:35:35 +0000 2024,"['motogp', 'mandalika', '2024', 'bnpb', 'siap', 'antisipasi', 'bahaya', 'gempa', 'tsunami']",okezonenews
Thu Sep 19 18:13:05 +0000 2024,"['gempa', 'm5', '1', 'guncang', 'sarmi', 'papua', 'potensi', 'tsunami']",okezonenews
Thu Sep 19 16:56:33 +0000 2024,"['gempa', 'm5', '3', 'guncang', 'padang', 'sidempuan', 'bmkg', 'potensi', 'tsunami']",okezonenews
Tue Sep 10 05:48:34 +0000 2024,"['gempa', 'm5', '2', 'guncang', 'alor', 'ntt', 'potensi', 'tsunami']",okezonenews
Mon Sep 09 13:54:05 +0000 2024,"['ancam', 'nyata', 'megathrust', 'laku', 'gempa', 'tsunami']",okezonenews
Sat Sep 07 10:33:02 +0000 2024,"['ancam', 'tsunami', 'megathrust', 'bmkg', 'kembang', 'sistem', 'ingat']",okezonenews
Sat Aug 31 10:24:05 +0000 2024,"['gempa', 'tektonik', 'm5', '2', 'guncang', 'keerom', 'papua', 'potensi', 'tsunami']",okezonenews
Mon Aug 26 00:46:35 +0000 2024,"['gempa', 'm5', '0', 'guncang', 'ternate', 'potensi', 'tsunami']",okezonenews
Sat Aug 24 17:24:11 +0000 2024,"['gempa', 'm5', '1', 'guncang', 'bengkulu', 'bmkg', 'potensi', 'tsunami']",okezonenews
Thu Aug 22 01:25:00 +0000 2024,"['kepala', 'bmkg', 'isu', 'gempa', 'tsunami', 'zona', 'megathurst']",okezonenews
Tue Aug 20 20:18:50 +0000 2024,"['bersuwara', 'bmkg', 'tegas', 'gempa', 'tsunami', 'zona', 'megathrust', 'prediksi']",okezonenews
Tue Aug 20 04:43:10 +0000 2024,"['catat', 'kelam', 'gempa', 'tsunami', 'bengkulu', 'guncang', 'kuat', 'm9', '0']",okezonenews
Sun Aug 18 00:17:22 +0000 2024,"['gempa', 'dahsyat', '7', '2', 'sr', 'guncang', 'rusia', 'muncul', 'ingat', 'tsunami']",okezonenews
