created_at,full_text,username
Sun Dec 22 04:06:21 +0000 2024,"['antisipasi', 'banjirlongsor', 'natal', 'pu', 'siap', 'ribu', 'alat', 'darurat', 'provinsi']",tribunnews
Thu Dec 19 05:01:21 +0000 2024,"['buntut', 'lapor', 'duga', 'keras', 'chandrika', 'chika', 'banjir', 'hujat', 'pilih', 'tutup', 'komentar']",tribunnews
Mon Dec 16 02:40:43 +0000 2024,"['stadion', 'jis', 'kepung', 'banjir', 'gbk', 'aman']",tribunnews
Mon Dec 09 04:23:43 +0000 2024,"['banjir', 'luap', 'jombang', 'pria', 'hilang', 'seret', 'arus', 'sungai']",tribunnews
Tue Dec 03 09:57:34 +0000 2024,"['banjir', 'terjang', 'lebak', '560', 'kk', 'dampak', 'anakanak', 'berangkat', 'sekolah', 'perahu', 'karet']",tribunnews
Sun Nov 24 10:29:12 +0000 2024,"['viral', 'jembatan', 'ujung', 'batu', 'kabupaten', 'rohul', 'roboh', 'terjang', 'banjir', 'lewat', 'mobil']",tribunnews
Wed Nov 20 12:32:59 +0000 2024,"['update', 'banjir', 'bandang', 'karawang', 'landa', 'desa', 'warung', 'hanyut', 'jalan', 'putus', 'akibat', 'longsor']",tribunnews
Wed Nov 20 10:01:51 +0000 2024,"['banjir', 'landa', 'kota', 'semarang', 'wali', 'kota', 'ita', 'sampah', 'sedimentasi', 'sebab', 'tribunjateng']",tribunnews
Wed Oct 30 12:10:40 +0000 2024,"['landa', 'banjir', 'motogp', 'valencia', '2024', 'ancam', 'batal', 'agenda', 'balap', 'tanda']",tribunnews
Tue Oct 29 02:59:46 +0000 2024,"['populer', 'sumbar', 'mayat', 'irt', 'duga', 'korban', 'bunuh', 'bantu', 'korban', 'banjir', 'lahar', 'turun']",tribunnews
Wed Oct 23 00:12:48 +0000 2024,"['1039', 'jiwa', 'korban', 'banjir', 'bandang', 'pesisir', 'bone', 'bolango', 'gorontalo', 'total', '157', 'rumah', 'rendam']",tribunnews
Wed Oct 23 00:11:20 +0000 2024,"['1039', 'warga', 'bone', 'bolango', 'dampak', 'banjir', 'bandang', 'hutan', 'ancam']",tribunnews
Tue Oct 22 10:14:31 +0000 2024,"['viral', 'nikah', 'klaten', 'jateng', 'warna', 'banjir', 'tamu', 'undang', 'santuy', 'acara', 'malam', 'tribun', 'solo']",tribunnews
Mon Oct 21 05:11:28 +0000 2024,"['update', 'banjir', 'murung', 'raya', 'kalteng', '6', 'camat', '41', 'desa', 'dampak', '329', 'jiwa', 'ungsi', 'tribun', 'kalteng']",tribunnews
Sat Oct 19 06:39:13 +0000 2024,"['bpbd', 'sumbar', 'catat', 'banjir', 'rob', 'abrasi', 'gelombang', 'daerah']",tribunnews
Sat Oct 19 02:54:16 +0000 2024,"['3882', 'jiwa', 'dampak', 'banjir', 'sanggau', 'kalbar', 'kemensos', 'luas', 'jangkau', 'distribusi', 'bantu']",tribunnews
Thu Oct 17 03:12:33 +0000 2024,"['pj', 'bupati', 'aceh', 'tamiang', 'status', 'bencana', 'banjir', 'tanggap', 'darurat', 'serambinews']",tribunnews
Tue Oct 15 13:56:50 +0000 2024,"['akses', 'seruway', 'aceh', 'tamiang', 'kepung', 'banjir', 'bantu', 'ancam', 'pasok', 'sungai']",tribunnews
Sun Oct 13 12:49:31 +0000 2024,"['masyarakat', 'dampak', 'banjir', 'rohil', 'riau', 'serang', 'gatalgatal']",tribunnews
Sun Oct 13 12:44:43 +0000 2024,"['aceh', 'daerah', 'potensi', 'hujan', 'lebat', 'banjir']",tribunnews
Sun Oct 13 12:44:19 +0000 2024,"['banjir', 'aceh', 'tamiang', 'renggut', 'korban', 'jiwa', 'pemuda', 'tinggal', 'seret', 'arus', 'mancing']",tribunnews
Sat Oct 12 20:56:56 +0000 2024,"['curhat', 'tiktok', 'setop', 'lokasi', 'banjir', 'ustaz', 'syawal', 'kendara', 'lapar', 'sakit']",tribunnews
Sat Oct 12 13:03:11 +0000 2024,"['sosok', 'prajurit', 'tni', 'viral', 'hafal', 'alquran', '30', 'juz', 'komandan', 'banjir', 'puji']",tribunnews
Sat Oct 12 12:50:58 +0000 2024,"['korban', 'banjir', 'lawe', 'hijo', 'aceh', 'tenggara', 'butuh', 'air', 'bersih']",tribunnews
Fri Oct 11 21:47:19 +0000 2024,"['banjir', 'subulussalam', 'parah', 'warga', 'ungsi', 'lintas', 'jalan', 'nasional', 'aceh', 'sumut', 'lumpuh']",tribunnews
Fri Oct 11 21:46:57 +0000 2024,"['video', 'banjir', 'kepung', '15', 'desa', 'nagan', 'raya', 'jalan', 'nasional', 'ganggu', 'jalan', 'desa', 'putus']",tribunnews
Fri Oct 11 12:41:51 +0000 2024,"['pj', 'gubernur', 'aceh', 'tangan', 'banjir', 'luas', 'aceh', 'tenggara']",tribunnews
Fri Oct 11 12:39:33 +0000 2024,"['tujuh', 'camat', 'aceh', 'tenggara', 'kepung', 'banjir', 'pangdam', 'terjun', 'ratus', 'tni']",tribunnews
Tue Jul 16 04:57:00 +0000 2024,"['nu', 'sorot', 'gempar', 'temu', '5', 'warga', 'nahdliyin', 'presiden', 'israel', 'penuh', 'senyum', 'foto', 'issac', 'herzog', 'unggah', 'instagram', 'akun', 'instagram', 'resmi', 'nu', 'banjir', 'komentar', 'negatif', 'kecam', 'warganet']",tribunnews
Tue Jul 09 10:37:00 +0000 2024,"['komika', 'marshel', 'widianto', 'singgung', 'percaya', 'banjir', 'hujat', 'usung', 'calon', 'wakil', 'wali', 'kota', 'beritapolitik']",tribunnews
Fri Jun 07 07:57:00 +0000 2024,"['video', 'rekam', 'orang', 'peluk', 'deras', 'banjir', 'landa', 'italia', 'nahas', 'tugas', 'selamat', 'tiga', 'korban', 'peluk', 'hanyut', 'tewas', 'banjir', 'bandang', 'italia']",tribunnews
Wed May 22 11:27:00 +0000 2024,"['presiden', 'jokowi', 'negara', 'iriana', 'unjung', 'korban', 'bencana', 'banjir', 'bandang', 'lahar', 'dingin', 'gunung', 'marapi', 'kabupaten', 'agam', 'sumatera', 'barat', 'selasa', '2152024', 'korban', 'kunjung', 'anakanak', 'tinggal', 'posko', 'ungsi', 'batu', 'taba']",tribunnews
Mon May 20 06:49:29 +0000 2024,"['puisi', 'tugas', 'sekolah', 'rafa', 'banjir', 'bandang', 'terjang', 'kawasan', 'kabupaten', 'tanah', 'datar', 'sumatra', 'barat']",tribunnews
Mon May 20 06:48:30 +0000 2024,"['edi', 'candra', '52', 'serta', 'istri', '3', 'anak', 'selamat', 'banjir', 'bandang', 'camat', 'limo', 'kaum', 'kabupaten', 'tanah', 'datar', 'provinsi', 'sumatera', 'barat', 'sumbar', 'sabtu', '1152024', 'malam']",tribunnews
Sun May 19 13:57:00 +0000 2024,"['puisi', 'tulis', 'rafa', 'januarta', 'putra', 'siswa', 'kelas', '6', 'sdn', '24', 'limo', 'kaum', 'balai', 'labuah', 'sorot', 'puisi', 'akan', 'tanda', 'tragedi', 'banjir', 'bandang', 'galodo', 'sumbar', 'rafa', 'salah', '13', 'korban', 'jumat', '1742024', 'temu']",tribunnews
Thu May 02 12:27:00 +0000 2024,"['hujan', 'lebat', 'serta', 'badai', 'petir', 'landa', 'utara', 'raja', 'arab', 'saudi', 'senin', '2942024', 'akibat', 'daerah', 'alami', 'banjir', 'bandang', 'madinah', 'rekam', 'video', 'rilis', 'afp', 'jalan', 'kota', 'madinah', 'genang', 'air']",tribunnews
Thu Apr 11 08:55:28 +0000 2024,"['video', 'kelompok', 'warga', 'raya', 'raya', 'idul', 'fitri', '1445', 'h', 'kondisi', 'banjir', 'viral', 'media', 'sosial', 'peristiwa', 'kabupaten', 'mus', 'rawas', 'utara', 'muratara', 'sumatera', 'selatan', 'rabu', '1042024']",tribunnews
Sat Apr 06 06:57:00 +0000 2024,"['wilayah', 'bukik', 'batabuah', 'canduang', 'batu', 'taba', 'ampek', 'angkek', 'camat', 'agam', 'sumatera', 'barat', 'dampak', 'banjir', 'lahar', 'dingin', 'gunung', 'marapi', 'jumat', '542024', 'sore', 'video', 'edar', 'air', 'volume', 'hantam', 'wilayah', 'mukim', 'duduk']",tribunnews
Sat Apr 06 05:27:00 +0000 2024,"['nagari', 'gunung', 'marapi', 'sumatera', 'barat', 'terjang', 'banjir', 'lahar', 'dingin', 'jumat', '542023', 'sore', 'wilayah', 'bukik', 'batabuah', 'canduang', 'batu', 'taba', 'ampek', 'angkek', 'camat', 'agam', 'peristiwa', 'rekam', 'video', 'amatir', 'viral', 'media', 'sosial']",tribunnews
Thu Apr 04 12:05:00 +0000 2024,"['hujan', 'lebat', 'guyur', 'kota', 'denpasar', 'kamis', '4', 'april', '2023', 'sebab', 'denpasar', 'kepung', 'banjir', 'banjir', 'denpasar']",tribunnews
Wed Jan 31 04:30:00 +0000 2024,"['faktafakta', 'jokowi', 'gencar', 'sebar', 'bansos', 'kampanye', '2024', 'banjir', 'kritik', 'mensos', 'risma', 'ajak']",tribunnews
Fri Jan 26 07:00:01 +0000 2024,"['vidi', 'aldiano', 'banjir', 'dukung', 'efek', 'kemoterapi', 'tahan', 'sakit', 'jadwal', 'padat']",tribunnews
Fri Jan 26 05:15:00 +0000 2024,"['sosok', 'joel', 'kojo', 'cap', 'pahlawan', 'timnas', 'indonesia', 'banjir', 'followers', 'instagram']",tribunnews
Tue Jan 16 07:13:47 +0000 2024,"['warga', 'korban', 'banjir', 'kabupaten', 'muba', 'sumsel', 'serang', 'sakit', 'batuk', 'flu', 'demam', 'tinggi', 'air', 'banjir', 'muba', 'capai', '1', '5', 'meter', 'tetap', 'siaga', 'banjir']",tribunnews
Sun Jan 14 11:46:29 +0000 2024,"['warga', 'kabupaten', 'ogan', 'komering', 'ilir', 'oki', 'sumsel', 'imbau', 'waspada', 'potensi', 'banjir', 'tanah', 'longsor', 'sewaktuwaktu']",tribunnews
Sat Jan 13 07:27:00 +0000 2024,"['rekam', 'video', 'sepeda', 'motor', 'yamaha', 'nmax', 'seret', 'banjir', 'kabupaten', 'indramayu', 'kamis', '1112024', 'video', 'unggah', 'akun', 'facebook', 'putri', 'shafira', 'peristiwa', 'wilayah', 'camat', 'isi', 'imbas', 'luap', 'sungai', 'cilalanang']",tribunnews
Sat Jan 13 03:00:01 +0000 2024,"['dayeuhkolot', 'kabupaten', 'bandung', 'terjang', 'banjir', 'bandang', 'ribu', 'rumah', 'warga', 'rendam', 'banjir']",tribunnews
Fri Jan 12 04:45:00 +0000 2024,"['status', 'gunung', 'lewotobi', 'lakilaki', 'level', 'iv', 'awas', 'waspada', 'potensi', 'banjir', 'lahar', 'hujan']",tribunnews
Mon Jan 08 14:31:13 +0000 2024,"['taman', 'makam', 'tpu', 'semper', 'utara', 'jakarta', 'langgan', 'rendam', 'banjir', 'musim', 'hujan', 'landa', 'banjir']",tribunnews
Tue Dec 26 07:20:00 +0000 2023,"['rumah', 'pompa', 'waduk', 'fungsi', 'atas', 'banjir', 'wilayah', 'jakarta', 'selatan', 'rampung', 'bangun', 'wali', 'kota', 'jakarta', 'selatan', 'munjirin', 'rumah', 'pompa', 'bangun', 'lokasi', 'jalan', 'asem', 'baris', 'tebet', 'banjir']",tribunnews
Mon Dec 25 16:00:02 +0000 2023,"['gubernur', 'jawa', 'timur', 'jatim', 'khofifah', 'resmi', 'bangun', 'pintu', 'air', 'lindung', 'desa', 'kalibuntu', 'camat', 'kraksaan', 'probolinggo', 'dampak', 'banjir', 'rob', 'senin', '25122023']",tribunnews
Mon Dec 25 15:47:40 +0000 2023,"['warga', 'desa', 'kalibuntu', 'camat', 'kraksaan', 'kabupaten', 'probolinggo', 'sumringah', 'betapa', 'resah', 'kerap', 'dampak', 'banjir', 'rob', 'ditindaklanjuti', 'gubernur', 'jawa', 'timur', 'jatim', 'khofifah', 'indar', 'parawansa', 'bangun', 'pintu', 'air']",tribunnews
