created_at,full_text,username
Mon Dec 23 04:09:04 +0000 2024,"['update', 'pvmbg', 'kondisi', 'gunung', 'kerinci', 'gempa', '1884', 'kali']",tribunnews
Wed Nov 20 10:50:45 +0000 2024,"['gempa', 'bumi', 'guncang', 'ende', 'ntt', 'lapor', 'korban', 'jiwa', 'kposkpg']",tribunnews
Wed Oct 30 08:50:35 +0000 2024,"['gempa', 'bumi', 'sulteng', 'lapor', 'rusa']",tribunnews
Tue Oct 29 07:22:46 +0000 2024,"['gempa', 'm', '4', '7', 'guncang', 'aceh', 'bmkg', 'pusat', 'gempa', 'darat', '5', 'wilayah']",tribunnews
Mon Oct 28 02:27:08 +0000 2024,"['info', 'bmkg', 'kini', 'gempa', 'mamberamo', 'raya', 'papua', '48', 'magnitudo', 'dalam', '18', 'km']",tribunnews
Tue Oct 22 13:49:07 +0000 2024,"['gempa', 'm', '5', '0', 'guncang', 'pangandaran', 'bmkg', 'sukabumi']",tribunnews
Sat Oct 19 13:29:49 +0000 2024,"['gempa', 'bumi', 'malam', 'sabtu', '19', 'oktober', '2024', 'info', 'bmkg', 'darat']",tribunnews
Fri Oct 11 12:53:48 +0000 2024,"['gempa', 'kini', 'jawa', 'barat', 'guncang', 'kabupaten', 'garut', 'getar', 'pacet']",tribunnews
Sat Aug 24 13:37:00 +0000 2024,"['syahrul', 'koordinasi', 'memitigasi', 'bencana', 'gempa', 'akibat', 'temu', 'lempeng', 'tektonik', 'bmkg', 'berhatihati', 'prediksi', 'bencana']",tribunnews
Sat Aug 17 11:27:00 +0000 2024,"['gempa', 'megathrust', 'hantu', 'wilayah', 'indonesia', 'wilayah', 'seringkali', 'gempa', 'bumi', 'lantas', 'gempa', 'megathrust', 'potensi', 'timbul', 'bencana', 'susul', 'tsunami']",tribunnews
Sat Aug 17 08:27:00 +0000 2024,"['wilayah', 'indonesia', 'ancam', 'bahaya', 'gempa', 'megathrust', 'bmkg', 'gempa', 'tinggal', 'tunggu', 'kait', 'daryono', 'sebut', 'istilah', 'tinggal', 'tunggu']",tribunnews
Thu Aug 15 14:27:00 +0000 2024,"['bmkg', 'sebut', 'megathrust', 'picu', 'gempa', 'wilayah', 'jawa', 'sumatera', 'megathrust', 'selat', 'sunda', 'picu', 'gempa', 'kuat', 'maksimal', 'm', '87', 'megathrust', 'mentawaisuberut', 'm', '89', 'gempa', 'megathrust', 'tinggal', 'tunggu']",tribunnews
Fri Aug 09 07:27:00 +0000 2024,"['gempa', 'kuat', '7', '1', 'skala', 'ritcher', 'guncang', 'jepang', 'kamis', '882024', 'sore', 'badan', 'meteorologi', 'jepang', 'sebut', 'pusat', 'gempa', 'prefektur', 'miyazaki']",tribunnews
Mon Jul 08 09:27:00 +0000 2024,"['gempa', 'bumi', 'guncang', 'kabupaten', 'batang', 'jawa', 'minggu', '772024', 'sore', 'akibat', 'bangun', 'rusak', 'rumah', 'warga', 'sekolah', 'masjid', 'agung', 'darul', 'muttaqin', 'seberang', 'alunalun', 'batang']",tribunnews
Mon Jul 08 06:27:00 +0000 2024,"['gempa', 'kuat', '4', '6', 'magnitudo', 'guncang', 'kabupaten', 'batang', 'jawa', 'minggu', '772024', 'sore', 'kuat', 'guncang', 'gempa', 'warga', 'panik', 'lari', 'selamat']",tribunnews
