created_at,full_text,username
Sat Aug 17 11:27:00 +0000 2024,"['gempa', 'megathrust', 'hantu', 'wilayah', 'indonesia', 'wilayah', 'seringkali', 'gempa', 'bumi', 'lantas', 'gempa', 'megathrust', 'potensi', 'timbul', 'bencana', 'susul', 'tsunami']",tribunnews
Sun Apr 28 08:27:00 +0000 2024,"['daryono', 'gempat', 'potensi', 'tsunami', 'gempa', 'asal', 'wilayah', 'samudra', 'hindia', 'selatan', 'jawa', 'barat', 'gempa', 'tektonik', 'perhati', 'lokasi', 'episenter', 'dalam', 'hiposenternya', 'gempa', 'jenis', 'gempa', 'bumi', 'tengah']",tribunnews
Wed Apr 03 14:01:15 +0000 2024,"['gempa', 'magnitudo', '5', '6', 'guncang', 'timur', 'laut', 'tuban', 'jawa', 'timur', 'rabu', '342024', '1602', 'wib', 'bmkg', 'gempa', 'potensi', 'tsunami', 'gempa', 'tuban']",tribunnews
Wed Jan 03 01:57:58 +0000 2024,"['gempa', 'm', '5', '9', 'guncang', 'banten', 'pagi', 'bmkg', 'potensi', 'tsunami']",tribunnews
Mon Jan 01 09:18:41 +0000 2024,"['breaking', 'news', 'gempa', 'bumi', 'magnitudo', '7', '6', 'guncang', 'jepang', 'ancam', 'tsunami', 'korea', 'selatan']",tribunnews
Sat Dec 30 12:10:04 +0000 2023,"['menkopolhukam', 'mahfud', 'md', 'respons', 'kait', 'usir', 'paksa', 'mahasiswa', 'balai', 'meuseuraya', 'aceh', 'bma', 'mahfud', 'md', 'sesal', 'alami', 'ungsi', 'rohingya', 'ungkit', 'bencana', 'tsunami', 'aceh', 'landa', '2004', 'silam', 'rohingya']",tribunnews
Tue Dec 26 00:38:38 +0000 2023,"['prabowo', 'tani', 'sby', 'hadir', 'ingat', '19', 'tsunami', 'aceh']",tribunnews
Tue Nov 14 07:25:59 +0000 2023,"['gempa', 'kini', '5', '2', 'm', 'guncang', 'tanimbar', 'siang', 'bmkg', 'potensi', 'tsunami']",tribunnews
Wed Nov 08 05:41:55 +0000 2023,"['gempa', 'm', '7', '2', 'guncang', 'tanimbar', 'malu', 'bmkg', 'potensi', 'tsunami']",tribunnews
Thu Nov 02 00:30:41 +0000 2023,"['gempa', 'kuat', '6', '6', 'skala', 'richter', 'guncang', 'kota', 'kupang', 'potensi', 'tsunami']",tribunnews
Fri Aug 04 08:48:30 +0000 2023,"['babak', 'indomilk', 'arena', 'rampung', 'tampil', 'sosok', 'pancar', 'nur', 'sorot', 'hasil', 'bendung', 'tsunami', 'serang', 'dewa', 'united', 'liga1', 'dewaunited', 'persissolo', 'anakdewa', 'persisday', 'dewa', 'united', '00', 'persis', 'solo']",tribunnews
Sun Jun 18 15:04:40 +0000 2023,"['tanding', 'italia', 'hasil', 'tahan', 'tsunami', 'gempur', 'serang', 'belanda', 'hujung', 'tanding', 'italia', 'juara', 'ke3', 'uefa', 'nations', 'league', 'kali', 'ulang', 'musim', '20202021', 'uefanationsleague', 'nationsleague', 'belanda', '23', 'italia']",tribunnews
Wed May 24 02:09:41 +0000 2023,"['gempa', 'gempa', 'guncang', 'buleleng', 'ambon', 'pulau', 'sangihe', 'potensi', 'tsunami']",tribunnews
Fri May 19 06:17:52 +0000 2023,"['breaking', 'news', 'gempa', 'm', '7', '8', 'guncang', 'pasifik', 'potensi', 'tsunami', 'fiji', 'selandia']",tribunnews
Fri May 19 05:35:46 +0000 2023,"['breaking', 'news', 'gempa', 'm', '7', '8', 'guncang', 'pasifik', 'potensi', 'tsunami', 'fiji', 'selandia']",tribunnews
Sat May 13 11:03:29 +0000 2023,"['tsunami', 'serang', 'vietnam', 'arhan', 'kartu', 'merah', 'indonesia', 'hasil', 'menang', 'gol', 'injury', 'time', 'berkat', 'serang', 'eksekusi', 'apik', 'taufany', 'timnasday', 'seagames', 'seagames2023', 'indonesia', '32', 'vietnam']",tribunnews
Sat May 13 10:29:35 +0000 2023,"['67', 'tsunami', 'serang', 'vietnam', 'hasil', 'aman', 'rizky', 'ridho', 'timnasday', 'seagames', 'seagames2023', 'indonesia', '21', 'vietnam']",tribunnews
Sun Apr 30 13:41:54 +0000 2023,"['tsunami', 'serang', 'united', 'buah', 'gol', 'tembak', 'rashford', 'antisipasi', 'sempurna', 'emi', 'matinez', 'bruno', 'sambar', 'bola', 'muntah', 'manutd', '10', 'villa', 'munavl', 'manutd', 'astonvilla']",tribunnews
Sun Apr 30 13:16:41 +0000 2023,"['14', 'unai', 'emery', 'mencakmencak', 'tim', 'berondong', 'tsunami', 'serang', 'menitmenit', 'tanding', 'manutd', '00', 'villa', 'munavl', 'manutd', 'astonvilla']",tribunnews
Sun Apr 30 11:55:15 +0000 2023,"['65', 'tsunami', 'serang', 'inter', 'provedel', 'menep', 'tembak', 'kali', 'dumfries', 'inter', '01', 'lazio', 'interlazio', 'inter', 'lazio']",tribunnews
Tue Jan 03 13:56:03 +0000 2023,"['gempa', 'bumi', 'kini', '5', '2', 'sr', 'jayapura', 'papua', 'susul', 'gempa', 'keerom', 'potensi', 'tsunami']",tribunnews
Tue Jan 03 08:10:23 +0000 2023,"['kota', 'jayapura', 'hantam', 'gempa', 'tsunami', 'bmkg', 'hoax']",tribunnews
Mon Dec 26 04:00:30 +0000 2022,"['18', 'tsunami', 'aceh', 'detikdetik', 'bencana', 'mati', 'minggu', 'pagi']",tribunnews
Tue Dec 13 12:31:48 +0000 2022,"['gempa', '5', '4', 'magnitudo', 'guncang', 'bal', 'potensi', 'tsunami']",tribunnews
Tue Dec 06 11:12:06 +0000 2022,"['5', 'fakta', 'gempa', 'jember', '3', 'gempa', 'susul', 'sumber', 'gempa', 'potensi', 'tsunami']",tribunnews
Tue Dec 06 07:31:28 +0000 2022,"['update', 'gempa', 'jember', 'potensi', 'tsunami', 'analisis', 'imbau', 'bmkg', 'portalsurya']",tribunnews
Mon Dec 05 04:40:00 +0000 2022,"['letus', 'laut', 'pakar', 'its', 'erupsi', 'meru', 'mustahil', 'picu', 'tsunami', 'jepang']",tribunnews
Mon Dec 05 01:29:36 +0000 2022,"['jepang', 'cabut', 'status', 'tsunami', 'dampak', 'erupsi', 'meru', 'pakar', 'ingat', '2', 'patah', 'aktif', 'surabaya']",tribunnews
Sun Dec 04 13:52:57 +0000 2022,"['badan', 'meteorologi', 'jepang', 'dampak', 'tsunami', 'erupsi', 'gunung', 'meru']",tribunnews
Sat Dec 03 10:59:46 +0000 2022,"['gempa', 'garut', 'warga', 'pangandaran', 'kayak', 'tsunami', '2006']",tribunnews
Sat Dec 03 10:14:01 +0000 2022,"['gempa', 'bumi', 'm', '6', '4', 'guncang', 'garut', 'bmkg', 'pasti', 'potensi', 'tsunami', 'tribunjabar']",tribunnews
Fri Nov 25 23:37:09 +0000 2022,"['info', 'gempa', 'kini', 'sabtu', '26', 'november', '2022', 'gempa', 'bumi', 'guncang', 'wilayah', 'malu', 'potensi', 'tsunami']",tribunnews
Wed Nov 23 11:54:31 +0000 2022,"['pasca', 'gempa', 'm', '7', '0', 'pulau', 'solomon', 'picu', 'ingat', 'tsunami', 'listrik', 'mati', 'komunikasi', 'putus']",tribunnews
Mon Nov 21 07:03:20 +0000 2022,"['jelas', 'bmkg', 'gempa', '5', '6', 'm', 'cianjur', 'potensi', 'tsunami', 'hatihati', 'gempa', 'susul']",tribunnews
Mon Nov 21 06:36:14 +0000 2022,"['gempa', 'kini', '5', '6', 'sr', 'guncang', 'cianjur', 'jawa', 'barat', 'bmkg', 'potensi', 'tsunami']",tribunnews
Sun Nov 20 14:22:36 +0000 2022,"['gempa', 'kini', 'm', '5', '5', 'guncang', 'kupang', 'ntt', 'bmkg', 'potensi', 'tsunami']",tribunnews
Sat Nov 12 15:16:50 +0000 2022,"['gempa', 'bumi', 'magnitudo', '5', '3', 'guncang', 'garut', 'jawa', 'barat', 'bmkg', 'potensi', 'tsunami']",tribunnews
Sat Nov 12 13:42:27 +0000 2022,"['gempa', 'bumi', 'magnitudo', '5', '3', 'guncang', 'garut', 'jawa', 'barat', 'bmkg', 'potensi', 'tsunami']",tribunnews
Sun Nov 06 04:29:29 +0000 2022,"['gempa', 'magnitudo', '6', '1', 'guncang', 'sulawesi', 'utara', 'potensi', 'tsunami']",tribunnews
Sun Nov 06 03:02:14 +0000 2022,"['gempa', 'magnitudo', '6', '1', 'guncang', 'sulawesi', 'utara', 'potensi', 'tsunami']",tribunnews
Thu Oct 13 14:02:29 +0000 2022,"['viral', 'air', 'laut', 'surut', 'tanda', 'tsunami', 'pantai', 'sampur', 'bangka', 'belitung', 'bpbd', 'warga', 'panik', 'serambinews']",tribunnews
Wed Oct 12 00:27:18 +0000 2022,"['tsunami', 'politik', 'pdi', 'juang', 'umum', 'capres', 'juni', '2023']",tribunnews
Sat Oct 01 11:14:33 +0000 2022,"['kepala', 'bmkg', 'ingat', 'potensi', 'tsunami', 'pesisir', 'barat', 'sumatera', 'barat', 'masyarakat', 'siaga', 'bencana']",tribunnews
Sat Sep 24 00:31:47 +0000 2022,"['info', 'bmkg', 'gempa', 'kini', 'wakatobi', 'sulawesi', 'tenggara', 'magnitudo', '54', 'potensi', 'tsunami']",tribunnews
Fri Sep 23 23:55:46 +0000 2022,"['gempa', 'kini', 'magnitudo', '6', '4', 'guncang', 'barat', 'daya', 'meulaboh', 'aceh', 'barat', 'bmkg', 'potensi', 'tsunami']",tribunnews
Tue Sep 20 08:38:27 +0000 2022,"['gempa', '76', 'm', 'guncang', 'meksiko', 'akibat', 'tsunami']",tribunnews
Sun Sep 11 04:32:37 +0000 2022,"['breaking', 'news', 'papua', 'nugini', 'guncang', 'gempa', 'magnitudo', '7', '7', 'ptwc', 'potensi', 'tsunami']",tribunnews
Tue Aug 23 23:36:35 +0000 2022,"['gempa', 'magnitudo', '6', '5', 'guncang', 'barat', 'daya', 'bengkulu', 'bmkg', 'potensi', 'tsunami']",tribunnews
Wed Jul 27 00:13:59 +0000 2022,"['amat', 'publik', 'waspada', 'tsunami', 'informasi', 'media', 'sosial', 'brigadir', 'j']",tribunnews
Fri Jul 22 03:48:10 +0000 2022,"['bmkg', 'gempa', 'bumi', 'm', '5', '1', 'guncang', 'nias', 'selatan', 'potensi', 'tsunami']",tribunnews
Wed Jul 20 00:13:21 +0000 2022,"['gempa', 'kini', 'magnitudo', '5', '8', 'guncang', 'barat', 'daya', 'bengkulu', 'potensi', 'tsunami']",tribunnews
